aX,aY,aZ,gX,gY,gZ
-0.571,1.567,0.579,-0.427,-43.579,-14.221
-0.564,1.578,0.637,0.793,-52.368,-2.930
-0.591,1.578,0.683,3.662,-59.265,0.061
-0.617,1.591,0.688,9.155,-59.326,1.953
-0.617,1.605,0.682,16.052,-49.866,5.676
-0.590,1.587,0.690,21.179,-33.386,9.399
-0.536,1.534,0.706,24.841,-15.076,12.512
-0.456,1.465,0.727,28.931,1.038,15.442
-0.370,1.386,0.737,34.119,13.611,17.334
-0.283,1.339,0.740,39.734,21.240,15.564
-0.209,1.250,0.723,46.082,24.475,17.029
-0.146,1.193,0.704,51.392,28.625,19.897
-0.091,1.127,0.666,53.528,29.724,20.630
-0.065,1.065,0.628,52.612,27.649,20.508
-0.071,1.016,0.593,50.537,23.071,20.569
-0.080,0.970,0.565,47.729,17.761,22.217
-0.104,0.928,0.537,44.495,12.085,25.024
-0.114,0.873,0.507,40.100,6.653,29.236
-0.099,0.785,0.488,33.997,1.831,34.363
-0.071,0.683,0.471,26.855,-3.357,39.063
-0.048,0.597,0.461,19.348,-8.728,42.786
-0.019,0.517,0.452,10.315,-12.756,44.983
0.001,0.453,0.454,0.793,-14.221,45.654
0.022,0.391,0.462,-8.240,-11.597,45.349
0.025,0.345,0.493,-16.235,-6.104,43.945
0.016,0.291,0.519,-22.949,0.793,42.053
0.008,0.217,0.565,-28.320,7.996,39.978
0.002,0.123,0.608,-32.043,13.855,37.720
0.026,0.058,0.673,-33.325,20.874,35.156
0.049,0.010,0.739,-33.325,28.992,31.616
0.066,-0.026,0.802,-32.776,38.757,27.222
0.094,-0.042,0.869,-31.189,50.232,22.156
0.117,-0.072,0.959,-27.649,63.416,20.447
0.120,-0.073,1.025,-27.039,73.547,16.663
0.094,-0.095,1.111,-24.963,71.289,10.132
0.055,-0.120,1.182,-23.315,55.786,4.333
0.026,-0.163,1.222,-21.545,37.537,-1.221
0.030,-0.215,1.239,-18.127,21.484,-1.892
0.059,-0.267,1.243,-15.564,10.071,0.549
0.117,-0.300,1.242,-13.794,2.380,3.784
0.204,-0.326,1.246,-12.085,-3.357,4.639
0.276,-0.338,1.266,-9.949,-7.263,1.526
0.309,-0.341,1.292,-5.920,-5.249,-4.883
0.320,-0.336,1.315,-0.427,3.784,-12.756
0.301,-0.324,1.326,6.042,14.648,-20.386
0.257,-0.313,1.326,11.841,20.874,-27.222
0.203,-0.298,1.312,15.625,20.752,-30.823
0.160,-0.273,1.287,17.761,14.221,-28.809
0.135,-0.240,1.248,18.005,2.747,-23.376
0.114,-0.197,1.212,16.357,-9.949,-16.479
0.108,-0.164,1.175,12.024,-22.156,-9.888
0.119,-0.125,1.147,7.019,-32.227,-5.676
0.114,-0.083,1.136,2.930,-39.673,-4.333
0.087,-0.039,1.130,0.610,-42.786,-5.249
0.048,0.009,1.126,0.061,-40.100,-7.385
0.001,0.044,1.137,0.671,-32.532,-10.071
-0.045,0.085,1.148,3.906,-22.400,-12.939
-0.096,0.125,1.147,9.399,-11.841,-15.564
-0.134,0.150,1.134,14.648,-3.296,-17.090
-0.167,0.165,1.110,19.409,2.136,-17.273
-0.187,0.176,1.079,23.010,5.127,-15.930
-0.199,0.186,1.040,24.841,5.432,-13.184
-0.208,0.189,0.998,24.658,2.686,-9.033
-0.202,0.192,0.958,22.827,-1.587,-4.822
-0.183,0.198,0.921,19.592,-6.653,-0.671
-0.159,0.195,0.889,14.587,-11.719,3.174
-0.135,0.193,0.872,9.216,-15.442,6.042
-0.114,0.196,0.865,4.822,-16.357,8.423
-0.097,0.209,0.876,1.160,-14.282,9.949
-0.084,0.209,0.895,-1.587,-10.132,10.132
-0.073,0.213,0.919,-2.808,-5.859,9.216
-0.075,0.217,0.947,-2.563,-1.648,7.935
-0.072,0.231,0.973,-0.977,2.625,6.836
-0.062,0.234,0.995,1.343,6.104,6.287
-0.056,0.239,1.005,3.723,7.385,5.310
-0.057,0.243,1.001,5.981,6.226,4.150
-0.054,0.250,0.991,7.690,3.784,4.028
-0.051,0.253,0.976,8.484,1.526,4.395
-0.047,0.257,0.957,8.484,-0.427,4.761
-0.046,0.257,0.941,7.629,-2.502,4.944
-0.048,0.259,0.932,6.470,-4.456,4.700
-0.055,0.256,0.926,5.371,-5.920,4.456
-0.055,0.254,0.923,4.272,-6.409,4.272
-0.059,0.246,0.922,3.174,-6.348,3.845
-0.062,0.242,0.929,2.686,-5.920,2.991
-0.064,0.242,0.937,2.808,-5.188,2.808
-0.065,0.237,0.942,3.540,-3.967,2.136
-0.063,0.235,0.943,4.089,-3.052,1.648
-0.064,0.235,0.936,4.211,-2.747,1.404
-0.069,0.231,0.934,3.845,-2.808,0.977
-0.072,0.227,0.930,3.296,-3.174,0.854
-0.076,0.225,0.927,2.441,-3.113,0.916
-0.075,0.226,0.926,1.465,-3.052,0.916
-0.074,0.229,0.925,-0.183,-2.808,1.038
-0.077,0.229,0.930,-2.563,-2.686,0.793
-0.084,0.227,0.944,-4.395,-2.075,0.183
-0.090,0.227,0.962,-4.944,-0.916,0.488
-0.091,0.231,0.979,-4.578,0.427,0.793
-0.092,0.232,0.995,-3.784,1.343,1.038
-0.087,0.229,1.006,-2.380,1.648,1.038
-0.084,0.227,1.008,-0.671,1.526,0.977
-0.079,0.229,1.007,1.221,0.793,0.732
-0.077,0.233,0.999,2.747,-0.061,0.854
-0.072,0.238,0.989,3.357,-0.427,0.488
-0.081,0.241,0.986,3.601,-0.366,-0.244
-0.090,0.238,0.986,4.211,0.366,-1.099
-0.093,0.238,0.982,5.249,1.404,-1.160
-0.092,0.234,0.967,5.920,2.075,-0.916
-0.092,0.234,0.946,5.371,1.465,-0.549
-0.094,0.234,0.936,4.456,0.854,-0.793
-0.091,0.232,0.933,3.418,0.977,-0.854
-0.090,0.227,0.940,2.747,1.465,-0.732
-0.088,0.223,0.949,2.869,1.587,-0.488
-0.087,0.221,0.949,3.296,1.587,-0.183
-0.081,0.220,0.946,3.540,1.648,0.366
-0.078,0.218,0.938,3.601,1.038,0.122
-0.079,0.217,0.935,3.540,0.183,-0.061
-0.078,0.217,0.937,3.845,-0.427,-0.061
-0.075,0.213,0.933,3.967,-0.793,0.061

-0.540,1.574,0.732,1.160,-37.720,-13.550
-0.606,1.591,0.752,7.141,-32.654,-10.254
-0.621,1.582,0.736,14.099,-27.710,-3.052
-0.591,1.551,0.695,20.020,-23.865,6.348
-0.527,1.505,0.667,23.865,-20.996,15.381
-0.451,1.444,0.646,26.611,-17.883,21.545
-0.367,1.382,0.622,29.053,-13.977,26.306
-0.274,1.322,0.602,31.250,-8.728,28.809
-0.204,1.249,0.581,32.227,-2.869,27.832
-0.162,1.182,0.561,32.898,3.540,25.452
-0.130,1.118,0.551,33.081,10.925,23.376
-0.116,1.046,0.548,32.166,18.066,22.095
-0.115,0.970,0.557,30.212,23.499,22.156
-0.117,0.888,0.574,28.320,26.978,23.621
-0.117,0.820,0.588,26.306,27.649,27.161
-0.097,0.755,0.610,23.437,25.696,31.738
-0.079,0.674,0.633,18.982,21.545,35.278
-0.069,0.582,0.656,13.977,15.259,37.048
-0.054,0.494,0.677,9.216,8.911,38.940
-0.027,0.413,0.692,5.554,5.493,40.649
-0.009,0.341,0.698,2.502,3.296,41.077
-0.022,0.283,0.703,-1.160,0.977,39.307
-0.039,0.226,0.717,-5.310,-1.221,36.865
-0.042,0.161,0.739,-9.399,-1.770,35.217
-0.018,0.121,0.770,-11.414,1.709,33.569
-0.007,0.088,0.795,-12.756,9.216,30.884
-0.012,0.058,0.827,-13.855,17.456,26.428
-0.021,0.027,0.862,-14.160,25.269,22.156
-0.020,-0.015,0.907,-14.954,29.236,17.578
-0.024,-0.056,0.942,-15.137,28.809,13.000
-0.033,-0.073,0.967,-13.306,26.855,9.705
-0.040,-0.091,0.994,-10.376,26.306,7.935
-0.030,-0.101,1.019,-7.690,28.442,7.935
-0.008,-0.104,1.038,-5.737,29.968,9.949
0.035,-0.105,1.061,-5.249,28.503,10.803
0.058,-0.095,1.083,-6.531,22.156,10.254
0.066,-0.112,1.105,-8.362,14.221,6.897
0.058,-0.145,1.124,-10.315,7.568,4.272
0.050,-0.168,1.144,-11.597,2.563,3.418
0.050,-0.185,1.156,-11.536,-0.549,4.028
0.052,-0.192,1.168,-11.230,-3.479,5.127
0.051,-0.192,1.189,-10.254,-7.141,5.188
0.057,-0.187,1.204,-8.423,-10.376,5.737
0.081,-0.167,1.209,-5.493,-13.062,7.446
0.089,-0.153,1.201,-2.869,-16.357,7.751
0.090,-0.142,1.189,-0.732,-20.081,7.385
0.095,-0.118,1.171,1.526,-22.522,7.263
0.091,-0.088,1.155,3.540,-23.132,6.409
0.101,-0.061,1.151,4.028,-22.644,4.700
0.078,-0.029,1.168,2.747,-28.137,1.282
0.058,0.021,1.167,0.854,-37.659,-3.723
0.031,0.050,1.164,1.404,-36.072,-3.723
0.016,0.081,1.152,3.540,-31.555,-3.845
-0.001,0.107,1.135,5.737,-28.259,-6.409
-0.031,0.122,1.113,8.057,-23.621,-8.911
-0.065,0.138,1.081,10.925,-18.494,-11.414
-0.097,0.161,1.053,13.245,-13.306,-14.099
-0.134,0.170,1.028,14.954,-7.935,-16.235
-0.161,0.182,1.001,16.296,-2.808,-17.334
-0.184,0.204,0.989,17.761,1.953,-17.883
-0.196,0.221,0.976,17.761,5.371,-17.578
-0.202,0.237,0.966,16.296,6.287,-15.808
-0.200,0.251,0.956,13.550,4.700,-12.756
-0.193,0.258,0.950,9.888,1.282,-9.033
-0.185,0.265,0.947,6.348,-2.197,-5.005
-0.175,0.271,0.944,3.479,-4.883,-1.892
-0.172,0.271,0.947,1.648,-6.226,0.427
-0.166,0.272,0.955,0.549,-6.165,2.075
-0.154,0.276,0.958,0.488,-4.761,3.113
-0.139,0.283,0.952,1.160,-3.052,3.418
-0.131,0.291,0.944,1.709,-1.343,2.502
-0.130,0.302,0.938,2.014,0.793,0.854
-0.139,0.314,0.938,2.625,3.967,-0.610
-0.140,0.322,0.943,3.784,7.874,-1.831
-0.139,0.331,0.941,4.456,10.559,-2.197
-0.143,0.328,0.939,3.967,11.658,-2.380
-0.146,0.329,0.943,3.479,11.292,-2.380
-0.148,0.326,0.944,2.991,9.949,-1.953
-0.145,0.325,0.939,2.625,7.507,-0.610
-0.138,0.320,0.925,2.502,5.676,0.854
-0.127,0.320,0.921,2.380,4.089,1.953
-0.112,0.318,0.917,2.380,2.808,2.991
-0.100,0.323,0.915,2.258,2.136,3.113
-0.092,0.317,0.915,1.709,1.770,2.197
-0.094,0.315,0.925,1.221,2.197,0.366
-0.100,0.310,0.935,1.770,2.930,-1.221
-0.104,0.301,0.944,3.052,3.784,-1.953
-0.112,0.302,0.950,4.883,3.845,-2.136
-0.117,0.305,0.942,6.775,3.418,-2.258
-0.122,0.298,0.924,7.812,2.441,-2.258
-0.120,0.289,0.909,8.118,1.465,-2.014
-0.115,0.282,0.900,7.996,0.244,-1.526
-0.107,0.278,0.896,7.690,-1.099,-0.916
-0.098,0.271,0.891,6.592,-2.014,-0.671
-0.095,0.270,0.897,4.822,-2.502,-0.854
-0.093,0.270,0.905,3.601,-2.441,-1.099
-0.093,0.267,0.913,2.747,-1.587,-1.465
-0.093,0.266,0.921,1.953,-0.671,-1.831
-0.094,0.265,0.931,1.404,-0.061,-1.831
-0.095,0.262,0.940,1.343,0.305,-2.014
-0.103,0.266,0.948,1.282,0.732,-2.258
-0.112,0.270,0.953,1.953,1.343,-2.380
-0.115,0.270,0.953,2.502,2.075,-2.258
-0.120,0.270,0.954,3.052,2.502,-2.197
-0.124,0.265,0.945,3.357,2.625,-2.075
-0.125,0.268,0.940,3.540,2.747,-2.136
-0.125,0.268,0.936,3.479,2.747,-2.075
-0.127,0.267,0.938,3.296,2.686,-2.014
-0.125,0.266,0.942,3.052,2.686,-1.831
-0.119,0.267,0.943,2.686,2.319,-1.160
-0.115,0.269,0.943,2.319,1.343,-0.549
-0.114,0.268,0.946,2.319,0.916,-0.488
-0.112,0.269,0.947,2.686,1.099,-0.671
-0.110,0.270,0.943,3.296,1.221,-0.793
-0.112,0.271,0.935,3.662,1.282,-0.977
-0.114,0.271,0.929,3.784,1.038,-1.404
-0.119,0.275,0.929,3.662,1.038,-1.648
-0.126,0.276,0.932,4.028,1.221,-1.709
-0.126,0.281,0.934,4.456,1.465,-1.282

-0.533,1.758,0.572,-16.174,-30.090,-55.786
-0.629,1.810,0.612,-9.216,-11.719,-58.167
-0.724,1.856,0.662,-0.122,2.136,-53.345
-0.794,1.870,0.683,10.437,10.132,-43.152
-0.794,1.844,0.669,19.836,10.132,-27.222
-0.731,1.784,0.625,26.123,1.343,-8.728
-0.597,1.712,0.565,30.518,-12.695,9.277
-0.420,1.627,0.497,33.508,-26.245,23.560
-0.239,1.534,0.425,34.607,-34.973,30.273
-0.080,1.439,0.379,34.302,-37.048,30.273
0.037,1.354,0.349,34.119,-33.081,24.048
0.145,1.277,0.361,34.607,-23.376,14.709
0.206,1.188,0.415,36.194,-11.047,3.723
0.183,1.121,0.463,39.368,-0.488,-7.202
0.123,1.082,0.499,44.495,8.179,-13.428
0.052,1.048,0.518,49.072,14.221,-12.207
0.005,0.992,0.531,52.673,15.320,-7.202
-0.034,0.908,0.525,54.382,6.592,-0.854
-0.081,0.808,0.505,52.612,-10.071,8.301
-0.098,0.716,0.485,46.387,-29.541,20.935
-0.096,0.627,0.464,36.926,-46.997,33.997
-0.078,0.541,0.453,25.696,-59.570,45.654
-0.079,0.438,0.462,14.343,-67.688,54.199
-0.093,0.327,0.479,2.747,-72.266,57.678
-0.099,0.240,0.505,-6.104,-70.862,57.556
-0.092,0.211,0.556,-10.132,-59.753,56.213
-0.066,0.173,0.636,-10.864,-39.612,52.063
-0.039,0.119,0.731,-7.324,-13.733,43.213
-0.035,0.080,0.836,0.854,13.062,31.128
-0.037,0.080,0.924,10.925,39.795,18.555
-0.041,0.088,0.996,22.888,63.171,7.690
-0.046,0.083,1.035,33.203,79.712,-0.793
-0.063,0.096,1.061,39.978,86.304,-6.165
-0.058,0.115,1.086,43.579,82.275,-9.277
-0.051,0.134,1.094,42.969,67.444,-10.681
-0.061,0.127,1.095,38.879,48.828,-7.446
-0.059,0.090,1.093,32.410,31.250,-1.648
-0.035,0.044,1.111,26.367,15.686,5.798
-0.001,-0.024,1.128,22.217,2.380,11.963
0.041,-0.095,1.142,20.508,-7.080,13.733
0.083,-0.175,1.152,22.095,-13.367,11.475
0.100,-0.235,1.158,26.672,-12.878,4.211
0.105,-0.272,1.148,33.142,-5.005,-4.211
0.107,-0.271,1.137,40.222,6.287,-12.451
0.080,-0.262,1.122,45.410,17.700,-18.433
0.047,-0.240,1.108,47.974,25.574,-23.071
0.019,-0.219,1.087,47.546,27.649,-24.353
-0.000,-0.195,1.068,43.579,23.437,-22.644
0.001,-0.203,1.101,35.706,10.925,-19.348
-0.014,-0.166,1.112,23.926,-18.494,-19.958
-0.034,-0.139,1.097,13.367,-39.429,-13.855
-0.020,-0.129,1.101,7.996,-42.358,-3.113
0.003,-0.110,1.099,3.113,-41.626,4.150
0.009,-0.089,1.101,-0.977,-39.734,8.057
0.007,-0.070,1.103,-3.174,-35.339,8.911
0.003,-0.054,1.103,-3.296,-29.968,7.568
-0.001,-0.046,1.101,-1.709,-22.827,3.296
-0.020,-0.014,1.092,1.587,-15.564,-1.770
-0.055,0.023,1.070,5.371,-7.935,-6.104
-0.103,0.072,1.044,8.850,0.732,-10.498
-0.147,0.115,1.021,12.390,8.972,-12.878
-0.180,0.154,1.000,13.733,13.916,-13.489
-0.209,0.188,0.981,13.733,15.381,-13.306
-0.228,0.219,0.969,12.268,14.343,-11.475
-0.244,0.243,0.957,10.437,11.658,-9.094
-0.250,0.261,0.945,8.423,8.606,-5.920
-0.244,0.281,0.931,6.775,5.554,-2.808
-0.239,0.298,0.915,4.700,2.869,-0.610
-0.228,0.311,0.908,3.235,1.526,0.732
-0.210,0.318,0.901,1.709,1.038,1.587
-0.204,0.320,0.903,0.244,1.160,1.404
-0.202,0.321,0.911,-0.183,2.197,1.343
-0.196,0.314,0.921,0.305,4.333,1.709
-0.188,0.316,0.927,1.160,5.066,2.441
-0.181,0.309,0.918,1.648,4.150,3.357
-0.172,0.304,0.911,1.709,2.625,4.578
-0.160,0.301,0.902,1.648,0.793,6.042
-0.151,0.302,0.902,1.465,-0.854,7.080
-0.142,0.299,0.895,1.221,-1.892,7.690
-0.138,0.300,0.896,0.671,-2.319,7.690
-0.133,0.300,0.900,0.671,-2.808,7.324
-0.130,0.298,0.904,0.793,-3.296,7.019
-0.129,0.301,0.908,1.160,-4.028,6.653
-0.123,0.303,0.906,1.343,-4.578,6.531
-0.114,0.300,0.906,1.160,-5.249,6.653
-0.107,0.293,0.908,0.854,-5.981,5.554
-0.103,0.287,0.915,0.793,-6.470,4.700
-0.099,0.284,0.923,0.854,-6.592,4.211
-0.097,0.281,0.918,0.732,-6.897,3.479
-0.102,0.285,0.923,0.244,-6.958,2.258
-0.106,0.281,0.927,0.061,-6.897,1.221
-0.111,0.280,0.940,0.488,-5.981,-0.244
-0.114,0.275,0.953,0.854,-5.188,-1.099
-0.116,0.272,0.951,1.343,-4.822,-1.160
-0.118,0.267,0.943,0.977,-5.249,-1.160
-0.119,0.265,0.944,0.244,-5.798,-0.732
-0.121,0.261,0.948,-0.488,-6.165,-0.366
-0.125,0.258,0.956,-0.732,-6.348,-0.366
-0.126,0.255,0.967,-0.305,-5.920,-0.122
-0.128,0.258,0.974,0.366,-5.249,-0.183
-0.135,0.256,0.981,1.526,-4.150,-0.366
-0.139,0.255,0.988,2.869,-2.502,-0.977
-0.145,0.255,0.993,4.578,-0.916,-1.221
-0.149,0.258,0.990,6.409,0.427,-1.404
-0.149,0.264,0.980,7.568,1.587,-1.282
-0.151,0.258,0.964,7.568,2.625,-1.526
-0.153,0.254,0.953,7.629,3.479,-1.465
-0.161,0.252,0.950,8.057,4.150,-1.404
-0.168,0.251,0.948,8.118,4.639,-1.404
-0.173,0.254,0.942,8.545,5.005,-1.038
-0.176,0.253,0.927,8.789,5.188,-0.671
-0.174,0.254,0.915,8.362,4.883,0.000
-0.171,0.260,0.904,7.935,4.272,0.549
-0.165,0.258,0.894,6.531,3.845,1.038
-0.156,0.255,0.895,5.432,3.723,1.343
-0.151,0.254,0.901,4.456,3.479,1.343
-0.145,0.254,0.910,3.418,3.052,1.160
-0.138,0.256,0.919,2.808,2.625,1.404
-0.134,0.254,0.923,2.258,2.136,1.404

-0.703,1.469,0.532,-8.301,-34.119,-56.702
-0.752,1.440,0.576,-2.197,-20.081,-49.194
-0.787,1.406,0.594,4.028,-13.977,-38.635
-0.776,1.364,0.593,9.644,-13.489,-24.780
-0.696,1.323,0.587,14.343,-14.404,-9.338
-0.594,1.281,0.580,16.785,-16.174,3.235
-0.500,1.251,0.573,17.883,-17.273,11.841
-0.414,1.226,0.569,19.104,-14.221,16.846
-0.337,1.200,0.573,20.630,-6.470,18.860
-0.267,1.166,0.584,22.400,2.991,19.836
-0.206,1.116,0.597,24.109,12.695,19.897
-0.167,1.053,0.606,26.062,20.020,19.470
-0.144,1.000,0.607,28.625,24.353,19.104
-0.125,0.952,0.589,30.518,26.306,20.752
-0.104,0.911,0.576,31.006,26.733,23.682
-0.075,0.874,0.579,29.541,26.367,27.344
-0.046,0.829,0.601,26.917,25.513,30.151
-0.032,0.779,0.633,22.461,23.071,31.433
-0.035,0.723,0.677,16.907,18.311,31.250
-0.044,0.679,0.708,11.536,13.367,32.715
-0.050,0.629,0.739,7.996,9.277,35.828
-0.038,0.573,0.763,6.287,6.470,38.086
-0.038,0.521,0.778,5.859,5.127,37.842
-0.040,0.481,0.788,6.226,7.629,37.109
-0.035,0.436,0.794,7.324,14.343,37.170
-0.034,0.395,0.801,7.751,21.667,36.682
-0.025,0.369,0.811,7.935,28.442,35.034
-0.032,0.355,0.818,7.080,31.982,34.058
-0.048,0.338,0.833,4.883,32.837,32.776
-0.063,0.319,0.861,2.014,31.555,32.898
-0.062,0.297,0.895,-0.305,28.809,33.997
-0.058,0.279,0.932,-0.732,26.367,35.278
-0.039,0.253,0.963,0.244,24.536,36.255
-0.022,0.223,0.983,2.441,21.973,36.316
0.004,0.199,0.993,5.249,18.799,33.691
0.003,0.192,0.984,7.202,15.137,28.381
-0.016,0.187,0.975,7.812,13.367,21.973
-0.044,0.194,0.994,9.399,16.235,16.663
-0.058,0.192,1.007,12.451,22.400,14.099
-0.063,0.192,1.017,16.357,27.771,12.390
-0.078,0.195,1.019,20.752,29.358,9.766
-0.095,0.199,1.007,24.048,27.283,8.301
-0.111,0.192,0.993,25.330,23.376,7.996
-0.121,0.184,0.980,26.184,19.348,8.911
-0.117,0.187,0.973,26.855,15.808,11.108
-0.104,0.175,0.969,27.344,13.367,13.306
-0.087,0.161,0.964,27.954,10.742,14.893
-0.063,0.136,0.954,28.198,7.568,15.015
-0.041,0.125,0.953,28.625,4.089,13.489
-0.024,0.108,0.939,28.198,0.977,10.925
-0.021,0.091,0.930,27.466,-1.892,8.118
-0.026,0.070,0.928,26.733,-3.479,5.249
-0.037,0.066,0.939,26.611,-3.357,2.502
-0.049,0.053,0.952,27.405,-1.770,0.305
-0.046,0.037,0.955,28.320,1.282,-1.282
-0.046,0.031,0.960,29.785,4.456,-2.319
-0.043,0.029,0.965,30.701,7.019,-3.540
-0.041,0.039,0.970,30.823,8.362,-4.578
-0.050,0.052,0.984,29.846,8.240,-5.676
-0.055,0.057,0.998,28.259,6.775,-6.531
-0.048,0.066,1.010,26.855,4.089,-6.042
-0.046,0.078,1.017,25.269,-0.183,-5.310
-0.048,0.077,1.022,24.048,-4.150,-5.493
-0.052,0.074,1.019,22.827,-7.446,-5.066
-0.050,0.069,1.012,22.095,-9.888,-3.845
-0.047,0.060,0.999,21.851,-12.512,-3.357
-0.059,0.055,0.976,21.423,-14.282,-4.517
-0.074,0.054,0.955,20.630,-14.343,-5.676
-0.086,0.048,0.955,19.287,-14.832,-6.958
-0.099,0.059,0.957,16.418,-18.433,-8.423
-0.108,0.068,0.961,13.611,-19.409,-7.141
-0.099,0.082,0.969,10.925,-18.860,-4.761
-0.084,0.094,0.982,8.362,-18.494,-2.869
-0.070,0.107,1.000,5.432,-19.287,-1.831
-0.063,0.124,1.022,3.174,-18.982,-0.793
-0.056,0.138,1.046,1.221,-18.860,0.000
